incident_id,article_url,domain
97,http://www.cbc.ca/news/canada/montreal/officer-cadet-from-royal-military-college-saint-jean-to-be-expelled-for-defiling-qur-an-1.4678092,cbc.ca
98,https://www.nytimes.com/2018/05/09/sports/hockey/givani-smith-police-escort-ohl.htm,nytimes.com
99,http://www.cbc.ca/news/canada/saskatoon/first-nations-student-subtle-racism-1.4656278,cbc.ca
100,http://www.cbc.ca/news/canada/nova-scotia/hrm-racism-black-african-nova-scotian-1.4653542,cbc.ca
101,http://www.cbc.ca/news/politics/caesar-chavannes-bernier-identity-1.4681187,cbc.ca
102,http://www.lillooetnews.net/news/local-news/gold-trail-issues-statement-on-anti-racist-poster-campaign-1.23311427,lillooetnews.net
103,https://globalnews.ca/news/4243508/calgary-indigenous-boy-braids-hair-school/?utm_source=%40globalnews&utm_medium=Twitter,globalnews.ca
104,https://www.thestar.com/opinion/star-columnists/2018/06/12/starbucks-racial-bias-training-shouldnt-be-one-size-fits-all.html,thestar.com
105,https://www.huffingtonpost.ca/2018/06/07/ontario-teacher-under-investigation-for-mocking-black-childs-hair-in-instagram-post_a_23453739/,huffingtonpost.ca
106,http://www.cbc.ca/news/canada/newfoundland-labrador/racism-dating-site-post-1.4691830,cbc.ca
107,http://www.cbc.ca/news/canada/new-brunswick/racist-graffiti-downtown-fredericton-cafe-1.4689396,cbc.ca
108,https://www.cbc.ca/news/canada/montreal/barrette-indigenous-remarks-misinterpreted-1.4715907,cbc.ca
109,https://www.independent.co.uk/news/world/americas/canadian-mosque-arson-attack-alberta-muslim-community-islamic-society-of-edson-a8403941.html,co.uk
110,https://www.kamloopsmatters.com/local-news/education-is-the-only-answer-to-ignorance-band-chief-responds-to-racist-comments-found-on-vandalized-sign-near-kamloops-973042,kamloopsmatters.com
111,https://www.cbc.ca/news/canada/montreal/moses-sumney-cancels-performance-1.4731552,cbc.ca
112,https://montreal.ctvnews.ca/la-meute-and-opponents-face-off-in-canada-day-clash-police-arrest-two-1.3996654,ctvnews.ca
113,https://www.ctvnews.ca/canada/vancouver-restaurant-manager-fired-for-refusing-to-serve-man-in-maga-hat-1.3995778,ctvnews.ca
114,https://www.cbc.ca/news/canada/calgary/mcdonalds-racist-incident-1.4723378,cbc.ca
115,https://globalnews.ca/news/4299168/racially-charged-vancouver-bus-video/,globalnews.ca
116,https://www.cbc.ca/news/canada/toronto/comedian-actor-andrew-phung-toronto-police-racist-comment-1.4738483,cbc.ca
117,https://www.cbc.ca/news/canada/british-columbia/racist-facebook-post-1.4732926,cbc.ca
118,https://www.theglobeandmail.com/arts/theatre-and-performance/article-montreal-jazz-festival-cancels-apologizes-for-robert-lepage-and-betty/,theglobeandmail.com
119,http://www.thesudburystar.com/2018/07/15/sudbury-man-leads-anti-immigration-rally,thesudburystar.com
120,https://vancouversun.com/news/local-news/surrey-mom-claims-racism-behind-accusation-of-sneaking-into-shared-swimming-pool,vancouversun.com
121,http://www.cbc.ca/news/canada/toronto/hate-is-alive-here-wife-of-beaten-mississauga-man-speaks-out-after-attack-1.4751217,cbc.ca
122,https://lfpress.com/news/local-news/london-grocery-store-standoff-being-probed-as-possible-hate-crime,lfpress.com
123,https://www.cbc.ca/news/canada/toronto/michael-tibollo-slammed-for-remarks-1.4752033,cbc.ca
124,https://www.huffingtonpost.ca/2018/07/17/conservatives-yank-attack-ad-that-showed-black-migrant-entering-canada_a_23484161/,huffingtonpost.ca
125,https://www.cbc.ca/news/canada/calgary/peter-simpson-racist-rant-1.4751751,cbc.ca
126,https://www.cbc.ca/news/canada/calgary/todd-beasley-medicine-hat-united-conservative-party-1.4748603,cbc.ca
127,https://www.theguardian.pe.ca/opinion/letter-to-the-editor/letter-flyer-attacks-immigration-226081/,pe.ca
128,https://www.ctvnews.ca/canada/leaders-call-assault-on-first-nations-man-in-thunder-bay-ont-a-hate-crime-1.4012412,ctvnews.ca
129,https://www.cbc.ca/news/canada/montreal/indigenous-artists-robert-lepage-kanata-1.4747228,cbc.ca
130,https://torontosun.com/entertainment/television/big-brother-controversies-racism-assault-homophobia-engulfs-canadas-no-1-show,torontosun.com
131,https://www.huffingtonpost.ca/2018/07/29/hamilton-man-racism-possible-hate-crime_a_23491858/,huffingtonpost.ca
132,https://www.cbc.ca/news/canada/nova-scotia/retired-firefighter-sues-halifax-fire-services-alleges-racism-1.4766239,cbc.ca
133,https://globalnews.ca/news/4356718/racially-charged-confrontation-muslim-family-toronto-ferry-terminal-arrest/,globalnews.ca
134,https://www.cbc.ca/news/canada/london/london-district-catholic-school-board-apologizes-for-racist-explicit-images-in-twitter-feed-1.4764961,cbc.ca
135,https://www.cbc.ca/news/canada/montreal/petition-demands-public-consultation-on-systematic-racism-1.4764773,cbc.ca
136,https://www.mississauga.com/news-story/8762319-anti-muslim-hate-crime-suspect-drops-out-of-mississauga-mayoral-race-now-running-in-ward-9/,mississauga.com
137,https://www.castanet.net/news/Vernon/232184/Another-act-of-racism,castanet.net
138,https://www.cbc.ca/news/canada/toronto/peel-council-integrity-commissioner-report-1.4755591,cbc.ca
139,"https://www.israelnationalnews.com/News/News.aspx/250078 
https://globalnews.ca/news/4373431/edmonton-swastika-graffiti-rally-rachel-notley/",israelnationalnews.com
140,"https://thinkpol.ca/2018/08/05/two-women-arrested-for-inciting-hate-speech-against-indigenous-canadians-on-social-media/ 

https://www.thestar.com/news/canada/2018/07/31/two-manitoba-women-charged-with-inciting-hatred-against-indigenous-people-on-facebook.html",thinkpol.ca
141,http://www.dailymail.co.uk/news/article-6024161/Woman-launches-racist-tirade-woman-subway-Canada-STEALING-phone.htm,co.uk
142,https://nextshark.com/crazy-rich-asians-poster-vandalized-racist-comments-vancouver-nothing-will-shake-us-says-director/ https://bc.ctvnews.ca/poster-for-crazy-rich-asians-movie-defaced-with-racist-graffiti-1.4043367,nextshark.com
143,https://www.cbc.ca/news/canada/edmonton/lessard-edmonton-community-vandalized-1.4774035,cbc.ca
