Incident ID,Article URL,Incident Description,Publication Date,Incident Date,Pub Date Minus Incident Date,Province,City or Region,Detailed Location,Incident Category,Gender of Victim(s),Name of Victim(s),Ethnic Community,Black/African/Caribbean,Central Asian,East Asian,Indigenous,Latin American,Middle Eastern,South Asian,Southeast Asian,Identity-Based,Context,Type of Incident,Previous Tags,Needs Review,D4G Notes,CCMF Notes,Status
30,https://www.thestar.com/news/gta/2018/02/24/u-of-t-student-group-says-racial-violence-and-harassment-a-health-and-safety-issue.html,U of T student group says racial violence and harassment a health and safety issue,2018-02-26,2018-02-24,2,Ontario,Toronto,,Non-Criminal,,,,,,,,,,,,,,,NC; race relations; not specified; Toronto,,,,
31,https://www.ctvnews.ca/politics/feds-move-to-settle-sexual-misconduct-racism-lawsuits-against-canadian-forces-1.3816231,"Feds move to settle sexual misconduct, racism lawsuits against Canadian Forces",2018-02-23,2018-02-23,0,Ontario,Ottawa,,,,,,,,,,,,,,,,,Class action lawsuit; race relations; not specified; Ottawa,,,,
32,https://www.thestar.com/news/canada/2018/02/22/deliberations-continue-in-murder-trial-for-raymond-cormier-accused-of-killing-of-tina-fontaine.html,Raymond Cormier found not guilty in death of Tina Fontaine,,2018-02-22,,Manitoba,Winnipeg,,Criminal: Unknown,,,Indigenous,,,,,,,,,,,,C; race relations/murder; anti-indigenous; Winnipeg,,,,
33,https://www.thestar.com/opinion/star-columnists/2018/02/26/how-anti-racism-town-hall-gave-hate-mongers-an-outsized-place-at-the-table.html,How anti-racism town hall gave hate-mongers an outsized place at the table,2018-02-27,2018-02-26,1,Ontario,Toronto,,Non-Criminal,,,,,,,,,,,,,,,NC; race relations; anti-racism; Toronto,,,,
35,https://www.cbc.ca/news/canada/thunder-bay/national-assembly-apology-request-1.4557947,Thunder Bay newspaper apologizes for 'inconsiderate' headline on story about egg attacks on 2 men,2018-03-02,2018-03-02,0,Ontario,Thunder Bay,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; Thunder Bay,,,,
36,http://torontosun.com/news/local-news/toronto-nightclub-accused-of-racism-for-stir-fry-event,Toronto nightclub accused of racism for 'Stir Fry' event,2018-03-06,2018-03-06,0,Ontario,Toronto,,Non-Criminal,,,,,,,,,,,,,,,NC; race relations; anti-asian; Toronto,,,,
37,http://www.cbc.ca/news/canada/british-columbia/racism-campaign-school-district-74-1.4566779,Got privilege?' B.C. school district under fire after launching anti-racism campaign,2018-03-07,2018-03-08,-1,British Columbia,,,Non-Criminal,,,,,,,,,,,,,Educational institute: Other,,NC; race relations; anti-racism; BC,,,,
38,http://www.cbc.ca/news/canada/nova-scotia/racism-school-black-students-name-calling-education-diversity-1.4564057,"Often called the N-word at school, this Nova Scotia student seeks to rid classroom of racism",2018-03-07,2018-03-07,0,Nova Scotia,,,Non-Criminal,,,Black/African/Caribbean,,,,,,,,,,Educational institute: Other,,NC; race relations; anti-black; Nova Scotia,,,,
40,https://www.thestar.com/news/canada/2018/03/07/crown-says-it-wont-appeal-acquittal-in-saskatchewan-shooting-of-colten-boushie.html,Crown says it won’t appeal acquittal in Saskatchewan shooting of Colten Boushie,2018-03-07,2018-03-07,0,Ontario,Ottawa,,,,,Indigenous,,,,,,,,,,,,Appeal Court decision; race relations; anti-indigenous; Ottawa,,,,
41,http://www.cbc.ca/news/canada/nova-scotia/antigonish-school-graffiti-1.4565502,"First Nations students to stay home after racist graffiti, threats against school",2018-03-07,2018-03-07,0,Nova Scotia,,,Criminal: Unknown,,,Indigenous,,,,,,,,,,Educational institute: Other,Vandalism,C; vandalism; anti-indigenous; Nova Scotia,,,,
42,https://www.reddeeradvocate.com/news/ontario-paper-apologizes-after-afn-calls-headline-on-egg-attacks-insensitive/,Ontario paper apologizes after AFN calls headline on egg attacks ‘insensitive’,,2018-03-03,,Ontario,Thunder Bay,,Non-Criminal,,,Indigenous,,,,,,,,,,,,NC; race relations; anti-indigenous; Thunder Bay,,,,
43,https://www.saobserver.net/news/b-c-school-assignment-deemed-racist-on-social-media/,B.C. school assignment deemed racist on social media,,2018-03-02,,British Columbia,Kelowna,,Non-Criminal,,,Indigenous,,,,,,,,,,"Educational institute: Other, Online: Social media",,NC; race relations; anti-indigenous; Kelowna,,,,
