"incident_id","location","province","national"
802,"Ottawa","Ontario",NA
803,NA,"Quebec",NA
804,"Halifax","Nova Scotia",NA
805,"Wet’suwet’en","Quebec",NA
806,NA,"Alberta",NA
807,"Calgary","Alberta",NA
807,"Red Deer","Alberta",NA
808,"Ponoka","Alberta",NA
809,NA,NA,"True"
810,"Edmonton","Alberta",NA
811,"Calgary","Alberta",NA
812,NA,"Ontario",NA
813,"Prince George","British Columbia",NA
814,"Ottawa","Ontario",NA
815,"Windsor","Ontario",NA
816,"Peel District","Ontario",NA
817,"Peel District","Ontario",NA
818,"Kingston","Ontario",NA
819,"Regina","Saskatchewan",NA
820,"Saskatoon","Saskatchewan",NA
821,"Brossard","Quebec",NA
822,"Ottawa","Ontario",NA
823,"Montreal","Quebec",NA
824,"Ottawa","Ontario",NA
825,NA,NA,"True"
826,"North Bay","Ontario",NA
827,"Guelph","Ontario",NA
828,"Guelph","Ontario",NA
829,"Guelph","Ontario",NA
830,"Halifax","Nova Scotia",NA
831,"Cambridge","British Columbia",NA
832,"Longueuil","Quebec",NA
833,"Montreal","Quebec",NA
834,"Montreal","Quebec",NA
835,NA,NA,"True"
836,"Ottawa","Ontario",NA
837,"Unknown","Unknown",NA
838,"Unknown","Unknown",NA
839,NA,"Nova Scotia",NA
840,"Unknown","Unknown",NA
841,"Halifax","Nova Scotia",NA
842,"Thunder Bay","Ontario",NA
843,NA,"Nova Scotia",NA
844,NA,NA,"True"
845,"Vancouver","British Columbia",NA
846,"Vancouver","British Columbia",NA
847,"Medicine Hat","Alberta",NA
848,"Vancouver","British Columbia",NA
849,NA,NA,"True"
850,"Vancouver","British Columbia",NA
851,"Halifax","Nova Scotia",NA
852,"Toronto","Ontario",NA
853,"Ottawa","Ontario",NA
854,NA,NA,"True"
855,NA,NA,"True"
856,"Brampton","Ontario",NA
857,"Prince George","British Columbia",NA
858,NA,NA,"True"
859,"Prince Albert","Saskatchewan",NA
860,"Happy Valley-Goose Bay","Newfoundland Labrador",NA
861,"Windsor","Ontario",NA
862,"Ottawa","Ontario",NA
863,"Cherry Brook","Nova Scotia",NA
864,"Winnipeg","Manitoba",NA
865,"Calgary","Alberta",NA
866,"Toronto","Ontario",NA
867,NA,NA,"True"
868,"Ottawa","Ontario",NA
869,"Ottawa","Ontario",NA
870,"Vancouver","British Columbia",NA
871,NA,"Quebec",NA
872,"Montreal","Quebec",NA
873,"Toronto","Ontario",NA
874,"Montreal","Quebec",NA
875,"Sudbury","Ontario",NA
876,NA,NA,"True"
877,"Surrey","British Columbia",NA
878,"Montreal","Quebec",NA
879,NA,NA,"True"
880,"Wet’suwet’en","Quebec",NA
881,"Cape Breton","Nova Scotia",NA
882,"Vancouver","British Columbia",NA
883,"Mississauga","Ontario",NA
884,"Kingston","Ontario",NA
885,"Timmins","British Columbia",NA
886,NA,NA,"True"
887,"Niagara","Ontario",NA
888,"Victoria","British Columbia",NA
889,"Stonewall","Manitoba",NA
890,NA,"Ontario",NA
891,"Vancouver","British Columbia",NA
892,"Vancouver","British Columbia",NA
893,"Vancouver","British Columbia",NA
894,"Calgary","Alberta",NA
895,"Mississauga","Ontario",NA
896,"Brampton","Ontario",NA
897,NA,NA,"True"
898,"Penticton","British Columbia",NA
899,"Granby","Quebec",NA
