incident_id,city_or_region,province,national,detailed_location,article_url,needs_review,notes
32,Winnipeg,Manitoba,,,https://www.thestar.com/news/canada/2018/02/22/deliberations-continue-in-murder-trial-for-raymond-cormier-accused-of-killing-of-tina-fontaine.html,,
33,Toronto,Ontario,,,https://www.thestar.com/opinion/star-columnists/2018/02/26/how-anti-racism-town-hall-gave-hate-mongers-an-outsized-place-at-the-table.html,,
34,Thunder Bay,Ontario,,,https://www.cbc.ca/news/canada/thunder-bay/thunder-bay-egg-throwing-investigation-1.4555840,,
35,Thunder Bay,Ontario,,,https://www.cbc.ca/news/canada/thunder-bay/national-assembly-apology-request-1.4557947,,
36,Toronto,Ontario,,,http://torontosun.com/news/local-news/toronto-nightclub-accused-of-racism-for-stir-fry-event,,
37,,British Columbia,,,http://www.cbc.ca/news/canada/british-columbia/racism-campaign-school-district-74-1.4566779,,
38,,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/racism-school-black-students-name-calling-education-diversity-1.4564057,,
39,Ottawa,Ontario,,,https://www.cbc.ca/news/business/air-canada-human-rights-complaint-attendants-1.4568517,,
40,Ottawa,Ontario,,,https://www.thestar.com/news/canada/2018/03/07/crown-says-it-wont-appeal-acquittal-in-saskatchewan-shooting-of-colten-boushie.html,,
41,,Nova Scotia,,,http://www.cbc.ca/news/canada/nova-scotia/antigonish-school-graffiti-1.4565502,,
42,Thunder Bay,Ontario,,,https://www.reddeeradvocate.com/news/ontario-paper-apologizes-after-afn-calls-headline-on-egg-attacks-insensitive/,,
43,Kelowna,British Columbia,,,https://www.saobserver.net/news/b-c-school-assignment-deemed-racist-on-social-media/,,
44,Kamloops,British Columbia,,,http://www.cbc.ca/news/canada/british-columbia/minor-hockey-racism-1.4558136,,
45,Toronto,Ontario,,,http://torontosun.com/news/local-news/warmington-two-sides-to-traffic-stop-of-tv-host-marci-ien,,
46,Winnipeg,Manitoba,,,http://www.cbc.ca/news/canada/manitoba/mom-speaks-out-says-racist-kids-bullied-family-1.4571816?cmp=rss,,
47,Toronto,Ontario,,,https://www.thestar.com/news/canada/2018/03/23/black-janitors-allege-racial-discrimination-plan-to-file-human-rights-complaint.html,,
48,Ottawa,Ontario,,,http://www.voiceonline.com/wsos-open-letter-to-postmedia-ceo-paul-godfrey-on-coverage-of-sikh-canadians/,,
49,Vaughan,Ontario,,,http://www.cbc.ca/news/canada/toronto/rock-smashed-vaughan-synagogue-hate-1.4587969,,
50,,Prince Edward Island,,,http://www.cbc.ca/news/canada/prince-edward-island/pei-john-joe-sark-wayne-easter-amherst-1.4574422,,
51,Regina,Saskatchewan,,,http://www.cbc.ca/news/canada/saskatchewan/sask-professor-threats-whiteness-talk-1.4571723,,
52,Ottawa,Ontario,,,http://www.cbc.ca/news/canada/ottawa/khoa-hoang-racial-discrimination-complaint-ottawa-police-1.4602578,,
53,Ottawa,Ontario,,,https://www.cbc.ca/news/canada/ottawa/man-assaulted-turban-stolen-westgate-mall-1.4594895,,
54,Halifax,Nova Scotia,,,http://www.worldbulletin.net/america-canada/200581/canadian-churches-vandalized-on-easter-sunday,,
55,Gatineau,Quebec,,,http://www.cbc.ca/news/canada/ottawa/racist-graffiti-gatineau-bus-shelter-swastika-1.4601290,,
56,Ottawa,Ontario,,,"https://thegrio.com/2018/03/29/black-woman-politician-canada-racist/
https://www.huffingtonpost.ca/2018/03/27/celina-caesar-chavannes-supporters-share-appreciation-for-mp-with-hereforcelina_a_23397067/",,
57,,Yukon,,,http://www.cbc.ca/news/canada/north/tourism-ad-casting-call-racist-yukon-1.4595987,,
58,Mississauga,Ontario,,,https://www.insauga.com/police-called-to-investigate-potential-hate-fuelled-incident-in-mississauga,,
59,Halifax,Nova Scotia,,,https://www.huffingtonpost.ca/2018/03/26/black-janitors-fired-racism-human-rights-complaint_a_23395862/,,
60,Edmonton,Alberta,,,http://www.cbc.ca/news/canada/edmonton/alberta-health-services-treaty-indian-letter-edmonton-1.4606328,,
