,location,province,national,complete_loc,latitude,longitude,pop
137,Peel,ON,,"Peel, ON, Canada",43.745865,-79.7962296,
138,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
139,Flin Flon,MB,,"Flin Flon, MB, Canada",54.769801,-101.878967,5932
140,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
141,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
142,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
143,Victoria,BC,,"Victoria, BC, Canada",48.4283182,-123.3649533,289837
144,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
145,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
146,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
147,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
148,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
149,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
150,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
151,Cardston,AB,,"Cardston, AB, Canada",49.2001157,-113.3165704,3697
152,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
153,Chilliwack,BC,,"Chilliwack, BC, Canada",49.157677,-121.9514307,51980
154,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
155,Nanaimo,QC,,"Nanaimo, QC, Canada",46.9762152,-71.3992051,
156,Peterborough,ON,,"Peterborough, ON, Canada",44.3048009,-78.3199496,76458
157,Sabrevois,QC,,"Sabrevois, QC, Canada",45.2067857,-73.2294969,
158,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
159,Perdue,SK,,"Perdue, SK, Canada",52.0561536,-107.5447954,
160,Dartmouth,NS,,"Dartmouth, NS, Canada",44.6799707,-63.5720232,
161,Nunavut,NU,,"NU, Canada",65.0377727,-92.5540791,
162,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
163,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
164,Stratford,ON,,"Stratford, ON, Canada",43.3700899,-80.9818016,30332
165,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
166,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
167,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
168,Fraser River,BC,,"Fraser River, BC, Canada",52.2528364,-122.2640101,
169,Stratford,ON,,"Stratford, ON, Canada",43.3700899,-80.9818016,30332
170,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
171,Fort Mcmurray,AB,,"Fort Mcmurray, AB, Canada",56.7291997,-111.3885221,
172,Fort Mcmurray,AB,,"Fort Mcmurray, AB, Canada",56.7291997,-111.3885221,
173,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
174,St. Paul,AB,,"St. Paul, AB, Canada",53.9876467,-111.291114,
175,M'Chigeeng,BC,,"M'Chigeeng, BC, Canada",45.8275794,-82.1612354,
176,Kincardine,ON,,"Kincardine, ON, Canada",44.1776378,-81.6348713,6857
177,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
178,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
179,Dartmouth,NS,,"Dartmouth, NS, Canada",44.6799707,-63.5720232,
180,,MB,,"nan, MB, Canada",55.001251,-97.001038,
181,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
182,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
183,Coquitlam,BC,,"Coquitlam, BC, Canada",49.2842958,-122.793281,
184,Elphinstone,MB,,"Elphinstone, MB, Canada",50.5303459,-100.3282541,
185,Thompson,MB,,"Thompson, MB, Canada",55.743347,-97.863464,12261
186,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
187,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
188,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
189,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
190,Kamloops,BC,,"Kamloops, BC, Canada",50.6758269,-120.3394159,68879
191,Pictou County,NS,,"Pictou County, NS, Canada",45.5855373,-62.7283219,
192,,QC,,"nan, QC, Canada",52.4760892,-71.8258668,
193,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
194,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
195,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
196,Montreal,QC,,"Montreal, QC, Canada",45.4972159,-73.6103642,3280123
197,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
198,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
199,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
200,New Glasgow,NS,,"New Glasgow, NS, Canada",45.5869474,-62.6483547,20134
201,,ON,,"nan, ON, Canada",50.000678,-86.000977,
202,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
203,Hamilton,ON,,"Hamilton, ON, Canada",43.2560802,-79.8728583,661942
204,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
205,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
206,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
207,St. Albert,AB,,"St. Albert, AB, Canada",46.0003622,-72.0885118,
208,Mississauga,ON,,"Mississauga, ON, Canada",43.590338,-79.645729,
209,Ottawa,ON,,"Ottawa, ON, Canada",45.421106,-75.690308,885542
210,Peel,ON,,"Peel, ON, Canada",43.745865,-79.7962296,
211,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
212,Brantford,ON,,"Brantford, ON, Canada",43.1408157,-80.2631733,87972
213,York,ON,,"York, ON, Canada",43.6896191,-79.479188,
214,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
215,Yarmouth,NS,,"Yarmouth, NS, Canada",43.8372648,-66.1157,7487
216,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
217,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
218,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
219,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
220,Calgary,AB,,"Calgary, AB, Canada",51.0534234,-114.0625892,991432
221,Halifax,NS,,"Halifax, NS, Canada",44.648618,-63.5859487,263547
222,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
223,Winnipeg,MB,,"Winnipeg, MB, Canada",49.8955367,-97.1384584,632857
224,Edmonton,AB,,"Edmonton, AB, Canada",53.535411,-113.507996,831979
225,New Westminster,BC,,"New Westminster, BC, Canada",49.2067726,-122.9108818,
226,Vancouver,BC,,"Vancouver, BC, Canada",49.2608724,-123.1139529,1839314
227,St. Albert,AB,,"St. Albert, AB, Canada",46.0003622,-72.0885118,
228,Charlottetown,PE,,"Charlottetown, PE, Canada",46.2906776,-63.12947829,43540
229,Toronto,ON,,"Toronto, ON, Canada",43.6534817,-79.3839347,4670783
